,0,1,2,3,4,5,6,7,8,9,10,11
6,155,凯利-奥利尼克,热火,9.10,3.00-6.50,45.7%,1.40-4.20,34.2%,1.80-2.30,77.7%,48,20.20
7,157,伊曼-香珀特,国王,8.90,3.20-8.30,38.2%,1.80-4.80,36.6%,0.80-1.00,82.9%,42,26.20
8,157,凯尔-科沃尔,爵士,8.90,3.00-6.70,44.7%,2.00-4.70,42%,0.90-1.10,83%,48,18.70
9,159,特里-罗齐尔,凯尔特人,8.80,3.20-8.40,38.1%,1.50-4.20,35.4%,1.00-1.20,80%,54,23.00
10,159,小拉里-南斯,骑士,8.80,3.50-6.60,52.9%,0.30-0.90,33.3%,1.50-2.00,71.1%,44,25.40
11,161,罗德尼-麦格鲁德,热火,8.70,3.30-8.00,40.7%,1.40-3.80,36.5%,0.80-1.00,75.5%,47,25.70
12,161,奥斯汀-里弗斯,火箭,8.70,3.20-8.10,39.9%,1.50-4.70,31.8%,0.80-1.40,54.3%,50,28.40
13,163,诺阿-冯莱,尼克斯,8.60,3.00-6.60,45.5%,0.80-2.20,35.3%,1.80-2.50,72.3%,53,26.50
14,163,约什-哈特,湖人,8.60,3.10-7.60,40.9%,1.50-4.50,34%,0.90-1.40,68.1%,53,26.70
15,165,德怀特-鲍威尔,独行侠,8.50,3.10-5.30,58%,0.30-1.40,21.5%,2.00-2.70,73.8%,48,16.60
16,166,马库斯-斯马特,凯尔特人,8.40,2.70-6.60,41.3%,1.60-4.20,37.7%,1.30-1.60,79.3%,53,26.80
17,166,德安德烈-本布里,老鹰,8.40,3.30-7.80,42.9%,0.70-2.30,29%,1.00-1.70,61.8%,53,24.90
18,166,乔纳森-艾萨克,魔术,8.40,3.00-7.30,41.1%,0.80-2.80,26.3%,1.60-1.90,84.6%,48,25.80
19,169,兰德里-沙梅特,76人,8.30,2.80-6.40,44.1%,1.80-4.50,40.4%,0.80-1.00,81.5%,54,20.50
20,170,埃弗里-布拉德利,快船,8.20,3.30-8.60,38.3%,1.20-3.50,33.7%,0.40-0.50,80%,49,29.90
21,171,兰斯顿-加洛韦,活塞,8.10,2.80-7.40,37.8%,1.60-4.80,33.3%,0.90-1.10,80.7%,51,21.50
22,171,巴姆-阿德巴约,热火,8.10,3.00-5.30,56.3%,0.00-0.20,11.1%,2.10-2.80,72.9%,51,22.10
23,171,戴维斯-贝尔坦斯,马刺,8.10,2.80-5.80,48.2%,2.10-4.40,47.2%,0.50-0.60,83.3%,49,20.90
24,171,里乔恩-霍姆斯,太阳,8.10,3.20-4.90,66.4%,0.00-0.00,0%,1.60-2.30,71.7%,49,16.40
25,175,米卡尔-布里奇斯,太阳,8.00,2.90-6.60,43.8%,1.40-3.80,36%,0.80-1.00,80.7%,55,27.40
26,175,凯尔-安德森,灰熊,8.00,3.50-6.40,54.3%,0.20-0.80,26.5%,0.90-1.50,57.8%,43,29.80
